title,genre,year,date,rating,vote_count,plot,main_act,supp_act
82년생 김지영,드라마,2019,10.23,6.69,47504,"1982년 봄에 태어나 누군가의 딸이자 아내, 동료이자 엄마로 2 19년 오늘을 살아가는 ‘지영’(정유미). 때론 어딘가 갇힌 듯 답답하기도 하지만 남편 ‘대현’(공유)과 사랑스러운 딸, 그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다. 하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’. ‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고 ‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데… 모두가 알지만 아무도 몰랐던 당신과 나의 이야기",정유미|공유,김미경|공민정|박성연|이봉련|김성철|이얼|김미경|손성찬|강애심|류아영|김정영
곡성(哭聲),미스터리|스릴러|드라마,2016,5.12,7.61,46460,"낯선 외지인(쿠니무라 준)이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 ‘종구’(곽도원)는 현장을 목격했다는 여인 ‘무명’(천우희)을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 ‘효진’(김환희)이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 ‘종구’. 외지인을 찾아 난동을 부리고, 무속인 ‘일광’(황정민)을 불러들이는데...",곽도원|황정민|쿠니무라 준|천우희|김환희,허진|장소연|김도윤|손강국|박성연|길창규|전배수|정미남|최귀화
7번방의 선물,코미디,2013,1.23,8.83,46235,"최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 '용구'! 평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 '용구' 딸 '예승'이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 2 13년 새해, 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!",류승룡|박신혜|갈소원|오달수|박원상|김정태|정만식|김기천,박길수|조재윤|조덕현
디 워,판타지|액션,2007,8.01,7.54,44725,"LA 도심 한복판에서 벌어진 의문의 대형 참사. 단서는 단 하나, 현장에서 발견된 정체불명의 비늘뿐. 사건을 취재하던 방송기자 이든(제이슨 베어)은 어린 시절 잭(로버트 포스터)에게 들었던 숨겨진 동양의 전설을 떠올리고. 여의주를 지닌 신비의 여인 세라(아만다 브록스)와의 만남으로 인해 이무기의 전설이 현실로 다가오고 있음을 직감한다. 전설의 재현을 꿈꾸는 악한 이무기 ‘부라퀴’ 무리들이 서서히 어둠으로 LA를 뒤덮는 가운데, 이들과 맞설 준비를 하는 이든과 세라. 모든 것을 뒤엎을 거대한 전쟁 앞에서 이들의 운명은 어떻게 될 것인가.",제이슨 베어|아만다 브룩스|크레이그 로빈슨|엘리자베스 페나|로버트 포스터,크리스 멀키|에이미 가르시아|존 알레스|빌리 가델
걸캅스,코미디|액션,2019,5.09,5.69,44379,"민원실 퇴출 순위 전직 전설의 형사 '미영'과 민원실로 밀려난 현직 꼴통 형사 '지혜' 집에서는 눈만 마주쳐도 으르렁 대는 시누이 올케 사이인 두 사람은 민원실에 신고접수를 하기 위해 왔다가 차도에 뛰어든 한 여성을 목격하고 그녀가 48시간 후 업로드가 예고된 디지털 성범죄 사건의 피해자란 사실을 알게 된다. 강력반, 사이버 범죄 수사대, 여성청소년계까지 경찰 내 모든 부서들에서 복잡한 절차와 인력 부족을 이유로 사건이 밀려나자 ‘미영’과 ‘지혜’는 비공식 수사에 나서기로 결심한다. 수사가 진전될수록 형사의 본능이 꿈틀대는 ‘미영’과 정의감에 활활 불타는 ‘지혜’는 드디어 용의자들과 마주할 기회를 잡게 되는데… 걸크러시 콤비의 비공식 합동 수사가 펼쳐진다!",라미란|이성경,윤상현|수영|염혜란|위하준|주우재|강홍석|김도완|한수현|전석호|조병규|안창환
국제시장,드라마,2014,12.17,9.01,41705,"195 년대 한국전쟁 이후로부터 현재에 이르기까지 격변의 시대를 관통하며 살아온 우리 시대 아버지 ‘덕수’(황정민 분), 그는 하고 싶은 것도 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적이 없다. ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절, 오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기가 지금부터 시작된다.",황정민|김윤진|오달수|정진영,장영남|라미란|김슬기|이현|김민재|태인호|황선화|엄지성|장대웅|신린아|이예은|최 스텔라 김|고윤|박선웅
암살,액션|드라마,2015,7.22,8.97,41099,"1933년 조국이 사라진 시대 대한민국 임시정부는 일본 측에 노출되지 않은 세 명을 암살작전에 지목한다. 한국 독립군 저격수 안옥윤, 신흥무관학교 출신 속사포, 폭탄 전문가 황덕삼! 김구의 두터운 신임을 받는 임시정부 경무국 대장 염석진은 이들을 찾아 나서기 시작한다. 암살단의 타깃은 조선주둔군 사령관 카와구치 마모루와 친일파 강인국. 한편, 누군가에게 거액의 의뢰를 받은 청부살인업자 하와이 피스톨이 암살단의 뒤를 쫓는데... 친일파 암살작전을 둘러싼 이들의 예측할 수 없는 운명이 펼쳐진다!",전지현|이정재|하정우,오달수|조진웅|이경영|최덕문|박병은|김의성|진경|허지원|김홍파|정규수|정인겸|이환|김인우|심희섭|허정도|우상전
베테랑,액션|드라마,2015,8.05,9.01,40979,"한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’(황정민), 2 년 경력의 승부사 ‘오팀장’(오달수), 위장 전문 홍일점 ‘미스봉’(장윤주), 육체파 ‘왕형사’(오대환), 막내 ‘윤형사’(김시후)까지 겁 없고, 못 잡는 것 없고, 봐 주는 것 없는 특수 강력사건 담당 광역수사대. 오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나, 서도철은 재벌 3세 ‘조태오’(유아인)를 만나게 된다. 세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’(유해진). 서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. 건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에 판은 걷잡을 수 없이 커져가고 조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데… 베테랑 광역수사대 VS 유아독존 재벌 3세 2 15년 여름, 자존심을 건 한판 대결이 시작된다!",황정민|유아인|유해진|오달수,장윤주|김시후|오대환|정웅인|정만식|송영창|진경|유인영|박소담|이동휘|배성우|천호진
아바타,SF|모험|액션|전쟁,2009,12.17,9.07,40958,"지구 에너지 고갈 문제를 해결하기 위해 판도라 행성으로 향한 인류는 원주민 ‘나비족’과 대립하게 된다. 이 과정에서, 전직 해병대원 제이크 설리(샘 워싱턴)가 ‘아바타’ 프로그램을 통해 ‘나비족’의 중심부에 투입되는데… 피할 수 없는 전쟁! 이 모든 운명을 손에 쥔 제이크! 그 누구도 넘보지 못한 역대급 세계가 열린다! 아바타: 인간과 ‘나비족’의 DNA를 결합해 만들어졌으며 링크룸을 통해 인간의 의식으로 원격 조종할 수 있는 새로운 생명체",샘 워싱턴|조 샐다나|시고니 위버|스티븐 랭,미셸 로드리게즈|지오바니 리비시|조엘 무어|CCH 파운더|웨스 스투디|라즈 알론소
국가대표,드라마|코미디,2009,7.29,9.13,40724,"1996년 전라북도 무주, 동계올림픽 유치를 위해 정식 종목 중 하나인 스키점프 국가대표팀이 급조된다. 이에 전(前) 어린이 스키교실 강사 방종삼(성동일 분)이 국가대표 코치로 임명되고, 그의 온갖 감언이설에 정예(?) 멤버들이 모인다. 전(前) 주니어 알파인 스키 미국 국가대표였다가 친엄마를 찾아 한국에 온 입양인 밥(하정우 분), 여자 없으면 하루도 못 버틸 나이트 클럽 웨이터 흥철(김동욱 분), 밤낮으로 숯불만 피우며 아버지가 시키는 대로 살아온 고깃집 아들 재복(최재환 분), 할머니와 동생을 돌봐야 하는 짐이 버거운 말 없는 소년 가장 칠구(김지석 분), 그런 형을 끔찍이 사랑하는 4차원 동생 봉구(이재응 분)까지! 방 코치는 마치 신이라도 된 것처럼 엄마와 같이 살 집이 필요한 밥에게는 아파트를, 사랑 때문에 또는 부양 가족 때문에 그들과 함께 있어야 하는 흥철, 칠구-봉구 형제, 그리고 재복에게는 군 면제를 약속한다. 단, 금메달 따면! 스키점프가 뭔지도 모르지만 한때 스키 좀 타봤다는 이유로 뽑힌 이들이 모이면서 대한민국 최초 스키점프 국가대표팀이 결성된다. 그러나 스키점프(Ski Jump)의 스펠링도 모르는 코치와 경험 전무한 국가대표 선수들의 훈련은 험난 하기만하다. 변변한 연습장도 없이 점프대 공사장을 전전해야 했고 제대로 된 보호장구나 점프복도 없이 오토바이 헬멧, 공사장 안전모 등만을 쓰고 맨몸으로 훈련에 임해야 했다. 그럼에도 불구하고 재복이네 고깃집 앞 마당에서의 지상 훈련을 시작으로 나무 꼭대기에 줄로 매다는 공중 곡예(?), 시속 9 km의 승합차 위에 스키 점프 자세로 고정되어 달리는 위험천만한 질주, 폐(閉)놀이공원 후룸 라이드를 점프대로 개조해 목숨 걸고 뛰어내리기 등 과학적(?) 훈련으로 무장하는 선수들! 이런 식의 무대뽀 트레이닝에도 이들은 점점 선수다운 모습을 갖춰 가고, 스키 하나에 의지해 하늘을 날아가는 순간이 행복해진다. 드디어 우여곡절 끝에 오버스트도르프 월드컵에 참여한 대한민국 스키점프 국가대표팀. 외국선수들의 비웃음과 무시에도 굴하지 않고 그들은 최선을 다하지만, 뜻하지 않은 사건으로 인해 결국 좋은 결과를 거두지 못한다. 그래도 소 뒷걸음질 치다 개구리 잡은 격으로 엉겁결에 나가노 동계 올림픽 출전 자격을 얻게 된 대한민국 국가대표팀은 나름 금의환향하며 올림픽 진출의 꿈에 부푼다. 그러나 한국은 동계올림픽 개최지 선정에 끝내 탈락하게 되고, 스키점프 국가대표팀은 해체 위기에 처한다. 군 면제를 위해, 엄마를 찾기 위해, 이제 이러한 개인적인 명분들을 뛰어 넘어 스키점프에 대한 애정과 열정, 그리고 도전 정신만으로 경기에 출전할 수 있기를 고대하는데.. {2 3년 제21회 타르비시오 동계 유니버시아드 개인전, 단체전 금메달 / 2 3년 제5회 아오모리 동계 아시안게임 단체전 금메달 / 2 7년 제23회 토리노 동계 유니버시아드 개인전, 단체전 은메달 / 2 9년 제24회 동계 유니버시아드 개인전, 단체전 금메달. 아직 한국 스키점프 국가대표의 등록 선수는 다섯 명이 전부이다.}",하정우|성동일|김지석|김동욱|최재환|이재응|이은성,이한위|이혜숙|김지영|현쥬니|황하나
신과함께-인과 연,판타지|드라마,2018,8.01,7.71,40472,"천 년 동안 48명의 망자를 환생시킨 저승 삼차사, 한 명만 더 환생시키면 그들도 새로운 삶을 얻을 수 있다. 하지만 강림(하정우)은 원귀였던 수홍(김동욱)을 자신들의 마지막 귀인으로 정하는 이해할 수 없는 선택을 한다. 저승법 상 원귀는 소멸되어야 마땅하나 염라대왕(이정재)은 저승 삼차사에게 새로운 조건을 내걸며 강림의 제안을 수락한다. 염라의 조건은 성주신(마동석)이 버티고 있어 저승 차사들이 가는 족족 실패하는 허춘삼 노인을 수홍의 재판이 끝나기 전까지 저승으로 데려오는 것. 허춘삼을 데리러 이승으로 내려간 해원맥(주지훈)과 덕춘(김향기), 하지만 성주신의 막강한 힘 앞에 속수무책으로 당하기만 하던 중 우연히 그가 천 년 전 과거에 해원맥과 덕춘을 저승으로 데려간 저승 차사였다는 사실을 알게 된다. 스스로도 기억 못 하는 과거에 대한 호기심으로 해원맥과 덕춘은 성주신과 거래를 시작하는데… 이승과 저승, 현재와 과거를 오가는 천 년의 비밀이 밝혀진다!",하정우|주지훈|김향기|마동석|김동욱,조한철|임원희|남일우|정지훈|디오|이준혁|장광|정해균
인천상륙작전,전쟁|드라마,2016,7.27,8.03,40203,"195 년 6월 25일 북한의 기습 남침으로 불과 사흘 만에 서울 함락, 한 달 만에 낙동강 지역을 제외한 한반도 전 지역을 빼앗기게 된 대한민국. 국제연합군 최고사령관 ‘더글라스 맥아더’(리암 니슨)는 모두의 반대 속 인천상륙작전을 계획한다. 성공확률 5 :1, 불가능에 가까운 작전. 이를 가능케 하는 것은 단 하나, 인천으로 가는 길이 확보되어야 하는 것뿐이다. 맥아더의 지시로 대북 첩보작전 ‘X-RAY’에 투입된 해군 첩보부대 대위 ‘장학수’(이정재)는 북한군으로 위장 잠입해 인천 내 동태를 살피며 정보를 수집하기 시작한다. 하지만 인천 방어사령관 ‘림계진’(이범수)에 의해 정체가 발각되는 위기에 놓인 가운데 ‘장학수’와 그의 부대원들은 전세를 바꿀 단 한번의 기회, 단 하루의 작전을 위해 인천상륙 함대를 유도하는 위험천만한 임무에 나서는데... 역사를 바꾼 비밀 연합작전 그 시작은 바로 그들이었다!",이정재|이범수|리암 니슨|진세연,정준호|박철민|김병옥|존 그리스|길금성|신수항|김희진|정민지|김진우|함형기|나야|이충구|성혁|고윤|장준학|션 리차드|저스틴 러플|진용욱|박정원|양범|이해준|조지 비셋|윤석진|김중희|윤다영|반세정|조원희|송경철|김중기|이창세|김제열|론 로만|매튜 도마|다미렌 퍼타도|트로이 마크 지젤스버거|아키라
괴물,모험|액션|스릴러|코미디|드라마|SF|판타지,2006,7.27,8.62,39731,"햇살 가득한 평화로운 한강 둔치 아버지(변희봉)가 운영하는 한강 매점, 늘어지게 낮잠 자던 강두(송강호)는 잠결에 들리는 ‘아빠’라는 소리에 벌떡 일어난다. 올해 중학생이 된 딸 현서(고아성)가 잔뜩 화가 나있다. 꺼내놓기도 창피한 오래된 핸드폰과, 학부모 참관 수업에 술 냄새 풍기며 온 삼촌(박해일)때문이다. 강두는 고민 끝에 비밀리에 모아 온 동전이 가득 담긴 컵라면 그릇을 꺼내 보인다. 그러나 현서는 시큰둥할 뿐, 막 시작된 고모(배두나)의 전국체전 양궁경기에 몰두해 버린다. 그곳에서 괴물이 나타났다. 한강 둔치로 오징어 배달을 나간 강두, 우연히 웅성웅성 모여있는 사람들 속에서 특이한 광경을 목격하게 된다. 생전 보도 못한 무언가가 한강다리에 매달려 움직이는 것이다. 사람들은 마냥 신기해하며 핸드폰, 디카로 정신 없이 찍어댄다. 그러나 그것도 잠시… 정체를 알 수 없는 괴물은 둔치 위로 올라와 사람들을 거침없이 깔아뭉개고, 무차별로 물어뜯기 시작한다. 순식간에 아수라장으로 돌변하는 한강변. 강두도 뒤늦게 딸 현서를 데리고 정신 없이 도망가지만, 비명을 지르며 흩어지는 사람들 속에서, 꼭 잡았던 현서의 손을 놓치고 만다. 그 순간 괴물은 기다렸다는 듯이 현서를 낚아채 유유히 한강으로 사라진다. 어딘가에 있을 현서를 반드시 찾아야 한다. 갑작스런 괴물의 출현으로 한강은 모두 폐쇄되고, 도시 전체는 마비된다. 하루아침에 집과 생계, 그리고 가장 소중한 현서까지 모든 것을 잃게 된 강두 가족… 돈도 없고 빽도 없는 그들은 아무도 도와주지 않지만, 위험구역으로 선포된 한강 어딘가에 있을 현서를 찾아 나선다.",송강호|변희봉|박해일|배두나|고아성,오달수|이재응|이동호|윤제문|김뢰하|박노식|고수희
보헤미안 랩소디,드라마,2018,10.31,9.42,39239,"공항에서 수하물 노동자로 일하며 음악의 꿈을 키우던 이민자 출신의 아웃사이더 ‘파록버사라’ 보컬을 구하던 로컬 밴드에 들어가게 되면서 ‘프레디 머큐리’라는 이름으로 밴드 ‘퀸’을 이끌게 된다. 시대를 앞서가는 독창적인 음악과 화려한 퍼포먼스로 관중들을 사로잡으며 성장하던 ‘퀸’은 라디오와 방송에서 외면을 받을 것이라는 음반사의 반대에도 불구하고 무려 6분 동안 이어지는 실험적인 곡 ‘보헤미안 랩소디’로 대성공을 거두며 월드스타 반열에 오른다. 그러나 독보적인 존재감을 뿜어내던 ‘프레디 머큐리’는 솔로 데뷔라는 유혹에 흔들리게 되고 결국 오랜 시간 함께 해왔던 멤버들과 결별을 선언하게 되는데… 세상에서 소외된 아웃사이더에서 전설의 록밴드 ‘퀸’이 되기까지, 우리가 몰랐던 그들의 진짜 이야기가 시작된다!",라미 말렉|루시 보인턴|귈림 리|벤 하디|조셉 마젤로,에이단 길렌|엘렌 리치|톰 홀랜더|마이크 마이어스|아론 맥쿠스커|메네카 다스|에이스 바티|미셸 던칸
